,LATITUDE,LONGITUDE
0,41.83070169,-87.62339535
1,41.85837259,-87.62735617
2,41.75213684,-87.64422891
3,41.87358229,-87.70548813
4,41.97409445,-87.76614884
5,41.99976348,-87.67132429
6,41.80181109,-87.63056018
7,41.77963154,-87.66088702
8,41.91860889,-87.76557448
9,41.85668453,-87.70838196
10,41.88008346,-87.76819989
11,41.76643089,-87.60574786
12,41.94740046,-87.65151202
13,41.92110332,-87.69745182
14,41.77898719,-87.70886382
15,41.70793329,-87.56834912
16,41.97954951,-87.69284451
17,41.90324165,-87.64335214
18,41.86297662,-87.65697251
19,41.83739443,-87.64640771
20,41.69143478,-87.66852039
21,41.69272336,-87.60450587
22,41.96605342,-87.72811456
